OwnerName,APN,SitusAddress,SitusCity,SitusZip,SubdivisionID,SubdivisionName,Mcr,SectionTownshipRange,IsRental,Weight,PropertyDescription,OwnerMailingAddress,McrNumber,PropertyType,PUCCode,ImprFCV,LandFCV,Neighborhood,MarketArea,Stories,LandSize,SalePrice,SaleDate,FullCashValue,LivableSqFootage,ConstructionYear,WeightedAge,PoolArea,Foreclosed,Floor1SqFt,Floor2SqFt,Floor3SqFt,BasementSqFt,Pool,Garage
PHOENIX CITY OF,"{'Book': '111', 'Map': '44', 'Item': '146A', 'clean': '11144146A', 'formatted': '111-44-146A', 'link': '/api/parcel/11144146A'}","800 N 5TH ST PHOENIX, AZ 85004",PHOENIX,85004,1894,PHOENIX BIOMEDICAL CAMPUS REPLAT,109423,05-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",109423,LD,9700,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '111', 'Map': '44', 'Item': '146B', 'clean': '11144146B', 'formatted': '111-44-146B', 'link': '/api/parcel/11144146B'}","850 N 5TH ST PHOENIX, AZ 85004",PHOENIX,85004,1894,PHOENIX BIOMEDICAL CAMPUS REPLAT,109423,05-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",109423,CM,9720,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '111', 'Map': '44', 'Item': '147', 'clean': '11144147', 'formatted': '111-44-147', 'link': '/api/parcel/11144147'}","817 N 5TH ST PHOENIX, AZ 85004",PHOENIX,85004,1894,PHOENIX BIOMEDICAL CAMPUS REPLAT,109423,05-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",109423,LD,9700,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '111', 'Map': '44', 'Item': '148', 'clean': '11144148', 'formatted': '111-44-148', 'link': '/api/parcel/11144148'}","333 E ROOSEVELT ST PHOENIX, AZ 85004",PHOENIX,85004,1895,CONCORD EASTRIDGE PHOENIX DOWNTOWN HOUSING,110808,05-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",110808,RD,9710,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '111', 'Map': '44', 'Item': '149', 'clean': '11144149', 'formatted': '111-44-149', 'link': '/api/parcel/11144149'}","888 N 4TH ST PHOENIX, AZ 85004",PHOENIX,85004,1895,CONCORD EASTRIDGE PHOENIX DOWNTOWN HOUSING,110808,05-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",110808,RD,9710,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '111', 'Map': '46', 'Item': '154', 'clean': '11146154', 'formatted': '111-46-154', 'link': '/api/parcel/11146154'}","600 E VAN BUREN ST PHOENIX, AZ 85004",PHOENIX,85004,1913,CITY OF PHOENIX GENOMICS CAMPUS REPLAT,132527,05-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",132527,CM,9720,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '112', 'Map': '19', 'Item': '128', 'clean': '11219128', 'formatted': '112-19-128', 'link': '/api/parcel/11219128'}","621 W WASHINGTON ST PHOENIX, AZ 85003",PHOENIX,85003,1971,CITY OF PHOENIX CRIME LAB,90533,08-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",90533,CM,9770,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '112', 'Map': '20', 'Item': '038B', 'clean': '11220038B', 'formatted': '112-20-038B', 'link': '/api/parcel/11220038B'}","620 W WASHINGTON ST PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",251,CM,9770,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '112', 'Map': '20', 'Item': '066', 'clean': '11220066', 'formatted': '112-20-066', 'link': '/api/parcel/11220066'}","438 W ADAMS ST PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",251,CM,9780,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '112', 'Map': '20', 'Item': '067D', 'clean': '11220067D', 'formatted': '112-20-067D', 'link': '/api/parcel/11220067D'}","425 W MONROE ST PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",251,CM,9720,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '112', 'Map': '20', 'Item': '068', 'clean': '11220068', 'formatted': '112-20-068', 'link': '/api/parcel/11220068'}","440 W ADAMS ST PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,Municipal Property,"440 W ADAMS ST PHOENIX, AZ 85003",251,CM,9720,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '112', 'Map': '20', 'Item': '115', 'clean': '11220115', 'formatted': '112-20-115', 'link': '/api/parcel/11220115'}","300 W WASHINGTON ST PHOENIX, AZ 85003",PHOENIX,85003,1973,PHOENIX MUNICIPAL COURT,44917,08-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",44917,CM,9720,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
NW COMMUNICATIONS OF PHOENIX INC,"{'Book': '112', 'Map': '20', 'Item': '116', 'clean': '11220116', 'formatted': '112-20-116', 'link': '/api/parcel/11220116'}","511 W ADAMS ST PHOENIX, AZ 85003",PHOENIX,85003,1974,NW COMMUNICATIONS OF PHOENIX INC,46943,08-1N-3E,FALSE,112511,Radio/TV Antenna,"511 W ADAMS ST PHOENIX, AZ 850031608",46943,CM,2590,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF                  (LEASED OUT),"{'Book': '112', 'Map': '21', 'Item': '001', 'clean': '11221001', 'formatted': '112-21-001', 'link': '/api/parcel/11221001'}","50 N CENTRAL AVE PHOENIX, AZ 85004",PHOENIX,85004,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,MUNICIPAL COMMERCIAL PROP - GPLET,"2 N CENTRAL AVE # 101 PHOENIX, AZ 85004",251,CM,9726,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF                  (LEASED OUT),"{'Book': '112', 'Map': '21', 'Item': '002', 'clean': '11221002', 'formatted': '112-21-002', 'link': '/api/parcel/11221002'}","28 N CENTRAL AVE PHOENIX, AZ 85004",PHOENIX,85004,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,GPLET ASSOCIATED PARCEL,"2 N CENTRAL AVE # 101 PHOENIX, AZ 85004",251,CM,9364,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF                  (LEASED OUT),"{'Book': '112', 'Map': '21', 'Item': '003', 'clean': '11221003', 'formatted': '112-21-003', 'link': '/api/parcel/11221003'}","40 N CENTRAL AVE PHOENIX, AZ 85004",PHOENIX,85004,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,GPLET ASSOCIATED PARCEL,"2 N CENTRAL AVE # 101 PHOENIX, AZ 85004",251,CM,9364,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF                  (LEASED OUT),"{'Book': '112', 'Map': '21', 'Item': '004', 'clean': '11221004', 'formatted': '112-21-004', 'link': '/api/parcel/11221004'}","11 W ADAMS ST PHOENIX, AZ 85004",PHOENIX,85004,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,GPLET ASSOCIATED PARCEL,"2 N CENTRAL AVE # 101 PHOENIX, AZ 85004",251,CM,9364,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF                  (LEASED OUT),"{'Book': '112', 'Map': '21', 'Item': '007', 'clean': '11221007', 'formatted': '112-21-007', 'link': '/api/parcel/11221007'}","34 N CENTRAL AVE PHOENIX, AZ 85004",PHOENIX,85004,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,GPLET ASSOCIATED PARCEL,"2 N CENTRAL AVE # 101 PHOENIX, AZ 85004",251,CM,9364,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF                  (LEASED OUT),"{'Book': '112', 'Map': '21', 'Item': '008', 'clean': '11221008', 'formatted': '112-21-008', 'link': '/api/parcel/11221008'}","253 W ADAMS ST PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,GPLET ASSOCIATED PARCEL,"2 N CENTRAL AVE # 101 PHOENIX, AZ 85004",251,CM,9364,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF                  (LEASED OUT),"{'Book': '112', 'Map': '21', 'Item': '009', 'clean': '11221009', 'formatted': '112-21-009', 'link': '/api/parcel/11221009'}","31 W ADAMS ST PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,GPLET ASSOCIATED PARCEL,"2 N CENTRAL AVE # 101 PHOENIX, AZ 85004",251,CM,9364,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF                  (LEASED OUT),"{'Book': '112', 'Map': '21', 'Item': '012', 'clean': '11221012', 'formatted': '112-21-012', 'link': '/api/parcel/11221012'}","55 N 1ST AVE PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,GPLET ASSOCIATED PARCEL,"2 N CENTRAL AVE # 101 PHOENIX, AZ 85004",251,CM,9364,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '112', 'Map': '21', 'Item': '062', 'clean': '11221062', 'formatted': '112-21-062', 'link': '/api/parcel/11221062'}","17 W MONROE ST PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",251,LD,9700,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX CITY OF,"{'Book': '112', 'Map': '22', 'Item': '074A', 'clean': '11222074A', 'formatted': '112-22-074A', 'link': '/api/parcel/11222074A'}","251 W WASHINGTON ST PHOENIX, AZ 85003",PHOENIX,85003,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,Municipal Property,"251 W WASHINGTON ST 8TH FL PHOENIX, AZ 85003",251,CM,9720,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
DOWNTOWN PHOENIX LOFTS LLC,"{'Book': '112', 'Map': '26', 'Item': '159', 'clean': '11226159', 'formatted': '112-26-159', 'link': '/api/parcel/11226159'}","424 S 2ND ST PHOENIX, AZ 85004",PHOENIX,85004,2003,DOWNTOWN PHOENIX LOFTS CONDOMINIUM,56504,08-1N-3E,FALSE,112511,Vacant Residential Land,"424 S 2ND ST UNIT PHOENIX, AZ 85004",56504,LD,11,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX ELEMENTARY SCHOOL DIST NO 1,"{'Book': '112', 'Map': '26', 'Item': '160A', 'clean': '11226160A', 'formatted': '112-26-160A', 'link': '/api/parcel/11226160A'}","56 E GRANT ST PHOENIX, AZ 85004",PHOENIX,85004,2004,PHOENIX ELEMENTARY SCHOOL DIST NO 1,58250,08-1N-3E,FALSE,112511,Exempt,"1817 N 7TH ST PHOENIX, AZ 85006",58250,CM,9374,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX ELEMENTARY SCHOOL DIST NO 1,"{'Book': '112', 'Map': '26', 'Item': '161', 'clean': '11226161', 'formatted': '112-26-161', 'link': '/api/parcel/11226161'}","125 E LINCOLN ST PHOENIX, AZ 85004",PHOENIX,85004,2004,PHOENIX ELEMENTARY SCHOOL DIST NO 1,58250,08-1N-3E,FALSE,112511,Municipal Property,"1817 N 7TH ST PHOENIX, AZ 85006",58250,CM,9790,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX MERCHANDISE MART 1946 LLC,"{'Book': '112', 'Map': '27', 'Item': '063', 'clean': '11227063', 'formatted': '112-27-063', 'link': '/api/parcel/11227063'}","246 S 1ST ST PHOENIX, AZ 85004",PHOENIX,85004,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,Associated Commercial,"1524 N 18TH AVE PHOENIX, AZ 85007",251,CM,1074,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX MERCHANDISE MART 1946 LLC,"{'Book': '112', 'Map': '27', 'Item': '065', 'clean': '11227065', 'formatted': '112-27-065', 'link': '/api/parcel/11227065'}","34 E JACKSON ST PHOENIX, AZ 85004",PHOENIX,85004,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,Mini-Storage,"1524 N 18TH AVE PHOENIX, AZ 85007",251,CM,3730,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
PHOENIX MERCHANDISE MART 1946 LLC,"{'Book': '112', 'Map': '27', 'Item': '068', 'clean': '11227068', 'formatted': '112-27-068', 'link': '/api/parcel/11227068'}","26 E JEFFERSON ST PHOENIX, AZ 85004",PHOENIX,85004,1964,PHOENIX  1 THROUGH 4 & 11 THROUGH 18,251,08-1N-3E,FALSE,112511,Associated Commercial,"1524 N 18TH AVE PHOENIX, AZ 85007",251,CM,1074,0,0,,,0,0,0,,0,0,0,0,0,FALSE,0,0,0,0,FALSE,FALSE
